Date,Transit Agency,Type ,Service Class,Discount,Amount,Balance
4/20/2018 5:38:32 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$13.34 
4/20/2018 8:24:56 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$16.34 
4/19/2018 5:41:55 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$19.34 
4/19/2018 8:44:29 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$22.34 
4/18/2018 6:05:43 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$25.34 
4/18/2018 8:34:54 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$28.34 
4/17/2018 7:13:05 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$11.34 
4/17/2018 8:44:21 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$14.34 
4/16/2018 6:30:18 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$17.34 
4/16/2018 8:40:11 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$20.34 
4/14/2018 1:43:42 PM,Toronto Transit Commission,Transfer,Regular,$0.00 ,$0.00 ,$0.00 
4/14/2018 1:34:51 PM,Toronto Transit Commission,Transfer,Regular,$0.00 ,$0.00 ,$0.00 
4/14/2018 12:53:30 PM,Toronto Transit Commission,Transfer,Regular,$0.00 ,$0.00 ,$0.00 
4/14/2018 12:30:16 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$23.34 
4/13/2018 5:27:18 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$26.34 
4/13/2018 8:46:17 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$29.34 
4/12/2018 8:06:45 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$12.34 
4/12/2018 8:48:28 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$15.34 
4/11/2018 8:12:11 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$18.34 
4/11/2018 7:01:20 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$21.34 
4/11/2018 8:55:04 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$24.34 
4/10/2018 8:50:26 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$27.34 
4/9/2018 5:50:59 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$10.34 
4/9/2018 9:00:29 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$13.34 
4/8/2018 6:10:18 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$16.34 
4/7/2018 11:33:36 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$19.34 
4/6/2018 6:27:34 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$22.34 
4/6/2018 4:13:36 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$25.34 
4/6/2018 8:52:22 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$28.34 
4/5/2018 7:41:00 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$11.34 
4/5/2018 8:47:29 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$14.34 
4/4/2018 5:59:24 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$17.34 
